Dataset,Model,Scope,Abstention_Cost,Macro-F1_Mean,Macro-F1_Std,Micro-F1_Mean,Micro-F1_Std,Hamming Loss_Mean,Hamming Loss_Std,Subset Accuracy_Mean,Subset Accuracy_Std,Example-F1_Mean,Example-F1_Std,train_time_Mean,train_time_Std,Abstentions-as-Zero Macro-F1_Mean,Abstentions-as-Zero Macro-F1_Std,Abstentions-as-Zero Micro-F1_Mean,Abstentions-as-Zero Micro-F1_Std,Generalized Loss_Mean,Generalized Loss_Std,Generalized Hamming Loss_Mean,Generalized Hamming Loss_Std,Selective Hamming Loss_Mean,Selective Hamming Loss_Std,Selective Macro-F1_Mean,Selective Macro-F1_Std,Selective Micro-F1_Mean,Selective Micro-F1_Std,Coverage_Mean,Coverage_Std,ABS_Mean,ABS_Std,AABS_Mean,AABS_Std,Abstention Rate_Mean,Abstention Rate_Std,Independent Label Count_Mean,Independent Label Count_Std,Dependent Label Count_Mean,Dependent Label Count_Std,Validation Full Macro-F1_Mean,Validation Full Macro-F1_Std
emotions,GSI_MLC_PA,rejection,0.25,,,,,,,,,,,,,0.4669917564711958,0.03899873607944566,0.49959498194125684,0.051837886972715394,0.15651239140926093,0.004929829885116839,0.15651239140926093,0.004929829885116839,0.11999158095270072,0.008875342042662857,0.6517932096684005,0.03031908513621026,0.7240737896305856,0.01985088995365983,0.720139602961786,0.030273010735302308,0.8801865574537023,0.03292381673130447,0.27986039703821397,0.030273010735302305,0.27986039703821397,0.030273010735302305,,,,,,
emotions,GSI_MLC_PA,rejection,0.3,,,,,,,,,,,,,0.5218861046568171,0.027786603359682648,0.5482044081576195,0.03993632204005981,0.17487984048536162,0.00628786523977519,0.17487984048536162,0.00628786523977519,0.1407057557321017,0.011540494213182031,0.662126465593768,0.024453770294688166,0.7054711456700243,0.01506898807109918,0.7866714998185103,0.025554475404479953,0.7890373230606507,0.04928863531994111,0.2133285001814897,0.02555447540447995,0.2133285001814897,0.02555447540447995,,,,,,
emotions,GSI_MLC_PA,rejection,0.35,,,,,,,,,,,,,0.5626088375909154,0.033842967959334856,0.5869269848088098,0.04531422212884437,0.18345996334545955,0.006897180279362164,0.18345996334545955,0.006897180279362164,0.151995508449848,0.013194774980765803,0.6653691137105068,0.027853474094638345,0.6994026525338818,0.022545577847070827,0.8423862894472498,0.027420191697981374,0.6625664538491648,0.09177174734242521,0.15761371055275025,0.027420191697981357,0.15761371055275025,0.027420191697981357,,,,,,
emotions,GSI_MLC_PA,rejection,0.4,,,,,,,,,,,,,0.5947560136058386,0.026344156623898524,0.6183554069492339,0.03596739460299807,0.18981649186837574,0.005291607586678982,0.18981649186837574,0.005291607586678982,0.1652701260270276,0.009297205261038916,0.6629075175721444,0.026221909852042345,0.6907210939649178,0.019921792702516355,0.895957765841316,0.020887945571878615,0.490529851688446,0.09137138519528736,0.10404223415868408,0.02088794557187863,0.10404223415868408,0.02088794557187863,,,,,,
scene,BR_MLP,full,,0.6221696558635108,0.011652999723323152,0.5995309816688409,0.00901368232595359,0.22271069075356414,0.006932423694911242,0.14715320292540066,0.021725746093591604,0.6233535618534918,0.010333993697220817,0.06256756782531739,0.004498391223048745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scene,CC_MLP,full,,0.6349694012316622,0.0132306409884751,0.6223618594882101,0.0137712125035673,0.18360854138168856,0.006571606615947151,0.23479528807920333,0.019920783646506245,0.6320013783593995,0.01732589887730889,0.20379023551940917,0.014978271526341184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scene,MLC_PA,full,,0.699048714365474,0.022693759719044193,0.6935254538414852,0.0230059209343074,0.09940415841641523,0.006028852145968628,0.536118500835672,0.03384108387782651,0.6169086224480036,0.028781028137527108,0.580629301071167,0.09086493215928315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scene,MLC_PA,rejection,0.2,,,,,,,,,,,,,0.5329281209468768,0.010063318245416869,0.5440064048227009,0.011240431253245373,0.07248411008274232,0.0030627003990010807,0.07248411008274232,0.0030627003990010807,0.043704331076342876,0.003976080901306858,0.7556570634790007,0.015082340959245873,0.7966307740401584,0.016842205082484806,0.815897098443021,0.004389904030494075,0.727829852650687,0.015489832255335451,0.18410290155697906,0.0043899040304940795,0.18410290155697906,0.0043899040304940795,,,,,,
scene,MLC_PA,rejection,0.25,,,,,,,,,,,,,0.5781309598444933,0.008470350449630784,0.5853146293783873,0.009480183611134585,0.08118542817351562,0.002730035164905266,0.08118542817351562,0.002730035164905266,0.05235799450912069,0.0037079246691057986,0.7525315745521797,0.009559091417318569,0.7780945788812432,0.014429424384978148,0.8541907990847617,0.005759351497012255,0.6314112715054756,0.020772542343570666,0.14580920091523827,0.005759351497012242,0.14580920091523827,0.005759351497012242,,,,,,
scene,MLC_PA,rejection,0.3,,,,,,,,,,,,,0.6136511803829472,0.01194721390696571,0.6183542674602517,0.01455794680902987,0.08766969044591513,0.005087865860557915,0.08766969044591513,0.005087865860557915,0.0606350663058826,0.0056927048972124205,0.7432315602117534,0.01830137639700506,0.761412926766657,0.023510057313622212,0.8870647754915811,0.00469353501086143,0.532976910637786,0.021020265560495396,0.11293522450841884,0.004693535010861461,0.11293522450841884,0.004693535010861461,,,,,,
