Dataset,Model,Model_Name,Macro-F1_Mean,Macro-F1_Std,Micro-F1_Mean,Micro-F1_Std,Hamming Loss_Mean,Hamming Loss_Std,Subset Accuracy_Mean,Subset Accuracy_Std,Example-F1_Mean,Example-F1_Std,Macro Precision_Mean,Macro Precision_Std,Macro Recall_Mean,Macro Recall_Std
cal500,CC,CC (LinearSVC),0.131026822917262,0.006439875124979028,0.3417033653327458,0.00968395069743834,0.16657929157614643,0.003628987239372608,0.0,0.0,0.3357487662004205,0.010116278533208161,0.16942003410705414,0.0072834861479758465,0.12120569530835072,0.006741422872026593
cal500,CC_MLP,CC (MLP),0.1998856052217944,0.008996260894033773,0.38533124634260874,0.008299165396746215,0.2188429419347399,0.0031118361211471194,0.0,0.0,0.3814257079146245,0.007402635717069715,0.18323769103747697,0.009569659035720175,0.26061712682811167,0.023316965370378754
bibtex,BR,BR (LinearSVC),0.32971086885870343,0.009839398564207855,0.4272041812578715,0.011115645849082076,0.015390561840487834,0.000152132880441679,0.15019061476145928,0.009839658537229694,0.4029914185802757,0.013575728611800128,0.4131078568872394,0.015471355110189927,0.2918942532197053,0.009176587380443586
bibtex,BR_Logistic,BR (Logistic Reg),0.28319695534616546,0.011721552203978502,0.433595389018486,0.011401056253033764,0.012534225314200603,0.00017153073058831075,0.17151017126757653,0.006974651590928596,0.3789754182161399,0.011866219238644657,0.5171623799190798,0.020604122464408244,0.21783418340493038,0.011022139562400205
bibtex,BR_MLP,BR (MLP),0.2905219961054549,0.005961967870146938,0.4080393458737238,0.006071595396258291,0.01823691597935967,0.00011392238858571163,0.1273033628285756,0.009302858540644578,0.37006809446120414,0.006518671725637228,0.35438870231777536,0.014424204561273196,0.2982310645079506,0.004003323422477863
bibtex,CC,CC (LinearSVC),0.3275657970720942,0.009775610899326615,0.42763035790704873,0.010988572572272865,0.015025113751403165,0.000244436992000933,0.16003432818462265,0.008427265065194105,0.4006864482841427,0.014161741390089569,0.42106328233454693,0.011597636603446839,0.28556832750342276,0.010379990073525644
bibtex,CC_MLP,CC (MLP),0.2557021241368512,0.00982261318891538,0.399509282434959,0.011920437015874995,0.014257559004904663,0.00017694174395244691,0.14654264813628362,0.008953654718664057,0.34991150327783593,0.012068001403374795,0.38169014203541246,0.015713034388397832,0.21328779515532395,0.011117841564789198
enron,BR,BR (LinearSVC),0.2258999862910323,0.013899504467592574,0.5126759622292625,0.010041688032965606,0.060114652851000115,0.0005520508402560457,0.11519360478655447,0.022235280712604045,0.5097265120320216,0.016385604735760978,0.2581024232377953,0.01634468961672436,0.21417938814363957,0.016044929999105412
enron,BR_Logistic,BR (Logistic Reg),0.21604032271986662,0.010646177875951061,0.5592314388819312,0.007802582037402232,0.04952096107565813,0.0009826789439709189,0.1374888289350808,0.026886485704839667,0.5459801344479269,0.012241882195919923,0.30053458555805507,0.02330745383641205,0.18389591348854328,0.009303689735242985
enron,BR_MLP,BR (MLP),0.2339410194628317,0.009171425102327458,0.5461675630829952,0.013900599005482373,0.0618276435523747,0.0017457506600817103,0.12277381679728956,0.024285013968032333,0.555056731821223,0.016341222007781674,0.23095436928033317,0.021724416628049525,0.2557747468621455,0.0037253902795478825
