Dataset,Model,Fold,Bin,Absolute Gap,Count,Lower Bound,Mean Predicted Probability,Observed Positive Rate,Upper Bound
emotions,CC_MLP,5,5,0.02397142113118933,207,0.5,0.5457105515659719,0.5217391304347826,0.6
emotions,CC_MLP,5,6,0.07797910987514334,73,0.6,0.6343496572481443,0.7123287671232876,0.7
emotions,CC_MLP,5,7,0.2113892010280064,14,0.7,0.7171822275434222,0.9285714285714286,0.8
emotions,CC_MLP,5,8,,0,0.8,,,0.9
emotions,CC_MLP,5,9,,0,0.9,,,1.0
emotions,MLC_PA_MLP,1,0,,0,0.0,,,0.1
emotions,MLC_PA_MLP,1,1,,0,0.1,,,0.2
emotions,MLC_PA_MLP,1,2,0.2751525491476059,7,0.2,0.2751525491476059,0.0,0.3
emotions,MLC_PA_MLP,1,3,0.3179052880122548,84,0.3,0.36552433563130243,0.047619047619047616,0.4
emotions,MLC_PA_MLP,1,4,0.32087093498557806,288,0.4,0.45628760165224475,0.13541666666666666,0.5
emotions,MLC_PA_MLP,1,5,0.08990769419990241,283,0.5,0.5422045139878883,0.45229681978798586,0.6
emotions,MLC_PA_MLP,1,6,0.062305980258517746,63,0.6,0.6361067181541806,0.6984126984126984,0.7
emotions,MLC_PA_MLP,1,7,0.285929004351298,6,0.7,0.714070995648702,1.0,0.8
emotions,MLC_PA_MLP,1,8,0.16244840621948242,1,0.8,0.8375515937805176,1.0,0.9
emotions,MLC_PA_MLP,1,9,,0,0.9,,,1.0
emotions,MLC_PA_MLP,2,0,,0,0.0,,,0.1
emotions,MLC_PA_MLP,2,1,,0,0.1,,,0.2
emotions,MLC_PA_MLP,2,2,0.2877672697816576,7,0.2,0.2877672697816576,0.0,0.3
emotions,MLC_PA_MLP,2,3,0.34244895706305634,74,0.3,0.36947598409008336,0.02702702702702703,0.4
emotions,MLC_PA_MLP,2,4,0.31548606147989633,320,0.4,0.45611106147989633,0.140625,0.5
emotions,MLC_PA_MLP,2,5,0.0669276625502343,255,0.5,0.5414374664718029,0.4745098039215686,0.6
emotions,MLC_PA_MLP,2,6,0.252706194823643,53,0.6,0.6340862580065457,0.8867924528301887,0.7
emotions,MLC_PA_MLP,2,7,0.2869867324829102,5,0.7,0.7130132675170898,1.0,0.8
emotions,MLC_PA_MLP,2,8,,0,0.8,,,0.9
emotions,MLC_PA_MLP,2,9,,0,0.9,,,1.0
emotions,MLC_PA_MLP,3,0,,0,0.0,,,0.1
emotions,MLC_PA_MLP,3,1,,0,0.1,,,0.2
emotions,MLC_PA_MLP,3,2,0.26718940734863283,5,0.2,0.26718940734863283,0.0,0.3
emotions,MLC_PA_MLP,3,3,0.3549538943916559,96,0.3,0.3653705610583226,0.010416666666666666,0.4
emotions,MLC_PA_MLP,3,4,0.3120659439318433,311,0.4,0.4535450436102999,0.1414790996784566,0.5
emotions,MLC_PA_MLP,3,5,0.08126706347173573,245,0.5,0.5424915532676541,0.46122448979591835,0.6
emotions,MLC_PA_MLP,3,6,0.10831337097363591,78,0.6,0.6352763726161077,0.7435897435897436,0.7
emotions,MLC_PA_MLP,3,7,0.2761308948198954,3,0.7,0.7238691051801046,1.0,0.8
emotions,MLC_PA_MLP,3,8,,0,0.8,,,0.9
emotions,MLC_PA_MLP,3,9,,0,0.9,,,1.0
emotions,MLC_PA_MLP,4,0,,0,0.0,,,0.1
emotions,MLC_PA_MLP,4,1,,0,0.1,,,0.2
emotions,MLC_PA_MLP,4,2,,0,0.2,,,0.3
emotions,MLC_PA_MLP,4,3,0.3376810175401193,81,0.3,0.36237237556481067,0.024691358024691357,0.4
emotions,MLC_PA_MLP,4,4,0.3568758053692761,302,0.4,0.45621355371364697,0.09933774834437085,0.5
emotions,MLC_PA_MLP,4,5,0.02429324666231769,279,0.5,0.5404222789203822,0.5161290322580645,0.6
emotions,MLC_PA_MLP,4,6,0.1751097963567365,57,0.6,0.6319077475029126,0.8070175438596491,0.7
emotions,MLC_PA_MLP,4,7,0.26865434646606445,1,0.7,0.7313456535339355,1.0,0.8
emotions,MLC_PA_MLP,4,8,,0,0.8,,,0.9
emotions,MLC_PA_MLP,4,9,,0,0.9,,,1.0
emotions,MLC_PA_MLP,5,0,,0,0.0,,,0.1
emotions,MLC_PA_MLP,5,1,,0,0.1,,,0.2
emotions,MLC_PA_MLP,5,2,0.2785380532344182,3,0.2,0.2785380532344182,0.0,0.3
emotions,MLC_PA_MLP,5,3,0.32469850260278454,92,0.3,0.36817676347234973,0.043478260869565216,0.4
emotions,MLC_PA_MLP,5,4,0.32294483820106756,243,0.4,0.4546320809994215,0.13168724279835392,0.5
emotions,MLC_PA_MLP,5,5,0.009071037477376587,245,0.5,0.543764915028397,0.5346938775510204,0.6
emotions,MLC_PA_MLP,5,6,0.1261677260984454,57,0.6,0.6282182388138353,0.7543859649122807,0.7
emotions,MLC_PA_MLP,5,7,0.2649500327450889,14,0.7,0.7350499672549111,1.0,0.8
emotions,MLC_PA_MLP,5,8,,0,0.8,,,0.9
emotions,MLC_PA_MLP,5,9,,0,0.9,,,1.0
emotions,GSI_MLC_PA_MLP,1,0,,0,0.0,,,0.1
emotions,GSI_MLC_PA_MLP,1,1,,0,0.1,,,0.2
emotions,GSI_MLC_PA_MLP,1,2,0.2758619487285614,14,0.2,0.2758619487285614,0.0,0.3
emotions,GSI_MLC_PA_MLP,1,3,0.3016908523337594,116,0.3,0.3620356799199663,0.0603448275862069,0.4
emotions,GSI_MLC_PA_MLP,1,4,0.2899267468476455,298,0.4,0.45435627704898784,0.1644295302013423,0.5
emotions,GSI_MLC_PA_MLP,1,5,0.05267564676426073,243,0.5,0.5423875809206393,0.4897119341563786,0.6
emotions,GSI_MLC_PA_MLP,1,6,0.14126889904340112,60,0.6,0.6253977676232656,0.7666666666666667,0.7
emotions,GSI_MLC_PA_MLP,1,7,0.2720986604690552,1,0.7,0.7279013395309448,1.0,0.8
emotions,GSI_MLC_PA_MLP,1,8,,0,0.8,,,0.9
emotions,GSI_MLC_PA_MLP,1,9,,0,0.9,,,1.0
emotions,GSI_MLC_PA_MLP,2,0,,0,0.0,,,0.1
emotions,GSI_MLC_PA_MLP,2,1,,0,0.1,,,0.2
emotions,GSI_MLC_PA_MLP,2,2,0.2669517035995211,14,0.2,0.2669517035995211,0.0,0.3
emotions,GSI_MLC_PA_MLP,2,3,0.3135076370078848,84,0.3,0.3611266846269324,0.047619047619047616,0.4
emotions,GSI_MLC_PA_MLP,2,4,0.2955277469186389,363,0.4,0.45806218218034694,0.162534435261708,0.5
emotions,GSI_MLC_PA_MLP,2,5,0.04469167040592348,213,0.5,0.537467954007222,0.5821596244131455,0.6
emotions,GSI_MLC_PA_MLP,2,6,0.1886609407088965,40,0.6,0.6363390592911035,0.825,0.7
emotions,GSI_MLC_PA_MLP,2,7,,0,0.7,,,0.8
emotions,GSI_MLC_PA_MLP,2,8,,0,0.8,,,0.9
emotions,GSI_MLC_PA_MLP,2,9,,0,0.9,,,1.0
emotions,GSI_MLC_PA_MLP,3,0,,0,0.0,,,0.1
emotions,GSI_MLC_PA_MLP,3,1,,0,0.1,,,0.2
emotions,GSI_MLC_PA_MLP,3,2,0.25871258676052095,20,0.2,0.25871258676052095,0.0,0.3
emotions,GSI_MLC_PA_MLP,3,3,0.3261063167261421,109,0.3,0.3628035644325641,0.03669724770642202,0.4
emotions,GSI_MLC_PA_MLP,3,4,0.2812706956357667,330,0.4,0.4509676653327364,0.1696969696969697,0.5
emotions,GSI_MLC_PA_MLP,3,5,0.04326254810605734,210,0.5,0.5432625481060573,0.5,0.6
emotions,GSI_MLC_PA_MLP,3,6,0.12734305951744318,64,0.6,0.6382819404825568,0.765625,0.7
emotions,GSI_MLC_PA_MLP,3,7,0.2726943373680115,5,0.7,0.7273056626319885,1.0,0.8
emotions,GSI_MLC_PA_MLP,3,8,,0,0.8,,,0.9
emotions,GSI_MLC_PA_MLP,3,9,,0,0.9,,,1.0
emotions,GSI_MLC_PA_MLP,4,0,,0,0.0,,,0.1
emotions,GSI_MLC_PA_MLP,4,1,,0,0.1,,,0.2
emotions,GSI_MLC_PA_MLP,4,2,0.2727845112482707,6,0.2,0.2727845112482707,0.0,0.3
emotions,GSI_MLC_PA_MLP,4,3,0.34063899152808724,90,0.3,0.36286121375030944,0.022222222222222223,0.4
emotions,GSI_MLC_PA_MLP,4,4,0.33518899114508377,304,0.4,0.45689951746087326,0.12171052631578948,0.5
emotions,GSI_MLC_PA_MLP,4,5,0.003281426818474431,276,0.5,0.5401968340510908,0.5434782608695652,0.6
emotions,GSI_MLC_PA_MLP,4,6,0.1414880877317385,43,0.6,0.6259537727333778,0.7674418604651163,0.7
emotions,GSI_MLC_PA_MLP,4,7,0.26865434646606445,1,0.7,0.7313456535339355,1.0,0.8
emotions,GSI_MLC_PA_MLP,4,8,,0,0.8,,,0.9
emotions,GSI_MLC_PA_MLP,4,9,,0,0.9,,,1.0
emotions,GSI_MLC_PA_MLP,5,0,,0,0.0,,,0.1
emotions,GSI_MLC_PA_MLP,5,1,,0,0.1,,,0.2
emotions,GSI_MLC_PA_MLP,5,2,0.26829879110058147,12,0.2,0.26829879110058147,0.0,0.3
emotions,GSI_MLC_PA_MLP,5,3,0.3253989535935071,98,0.3,0.36621528012411936,0.04081632653061224,0.4
emotions,GSI_MLC_PA_MLP,5,4,0.2515169014906314,293,0.4,0.45288208920394196,0.20136518771331058,0.5
emotions,GSI_MLC_PA_MLP,5,5,0.05750180911091918,206,0.5,0.5444399384618963,0.6019417475728155,0.6
emotions,GSI_MLC_PA_MLP,5,6,0.1792347417321316,43,0.6,0.6347187466399614,0.813953488372093,0.7
emotions,GSI_MLC_PA_MLP,5,7,0.279886931180954,2,0.7,0.720113068819046,1.0,0.8
emotions,GSI_MLC_PA_MLP,5,8,,0,0.8,,,0.9
emotions,GSI_MLC_PA_MLP,5,9,,0,0.9,,,1.0
music,BR_MLP,1,0,,0,0.0,,,0.1
music,BR_MLP,1,1,,0,0.1,,,0.2
music,BR_MLP,1,2,0.2683906439277861,9,0.2,0.2683906439277861,0.0,0.3
music,BR_MLP,1,3,0.34396332125914725,95,0.3,0.3650159528380946,0.021052631578947368,0.4
music,BR_MLP,1,4,0.33361676639698923,235,0.4,0.4570210217161382,0.12340425531914893,0.5
music,BR_MLP,1,5,0.10139128355064775,297,0.5,0.5424687246280888,0.44107744107744107,0.6
music,BR_MLP,1,6,0.11444194815052089,67,0.6,0.6318267085658971,0.746268656716418,0.7
music,BR_MLP,1,7,0.27074586749076845,10,0.7,0.7292541325092315,1.0,0.8
music,BR_MLP,1,8,0.19352596998214722,1,0.8,0.8064740300178528,1.0,0.9
music,BR_MLP,1,9,,0,0.9,,,1.0
music,BR_MLP,2,0,,0,0.0,,,0.1
music,BR_MLP,2,1,0.19496485590934753,1,0.1,0.19496485590934753,0.0,0.2
music,BR_MLP,2,2,0.2861845818432895,11,0.2,0.2861845818432895,0.0,0.3
music,BR_MLP,2,3,0.3390176579052088,98,0.3,0.35942582117051497,0.02040816326530612,0.4
music,BR_MLP,2,4,0.27680737803910527,262,0.4,0.45619669101620447,0.17938931297709923,0.5
music,BR_MLP,2,5,0.11386110698533747,241,0.5,0.5453963766948811,0.4315352697095436,0.6
music,BR_MLP,2,6,0.09768119752407078,80,0.6,0.6398188024759293,0.7375,0.7
music,BR_MLP,2,7,0.27553594774670076,9,0.7,0.7244640522532992,1.0,0.8
music,BR_MLP,2,8,,0,0.8,,,0.9
music,BR_MLP,2,9,,0,0.9,,,1.0
music,BR_MLP,3,0,,0,0.0,,,0.1
music,BR_MLP,3,1,,0,0.1,,,0.2
music,BR_MLP,3,2,0.27966007590293884,10,0.2,0.27966007590293884,0.0,0.3
music,BR_MLP,3,3,0.31483927859979516,85,0.3,0.3618981021292069,0.047058823529411764,0.4
music,BR_MLP,3,4,0.36043465184786966,252,0.4,0.4556727470859649,0.09523809523809523,0.5
music,BR_MLP,3,5,0.06714307897382499,278,0.5,0.5455603451608754,0.4784172661870504,0.6
music,BR_MLP,3,6,0.053797161401207716,67,0.6,0.6327700027778967,0.6865671641791045,0.7
music,BR_MLP,3,7,0.15428632125258446,16,0.7,0.7207136787474155,0.875,0.8
music,BR_MLP,3,8,,0,0.8,,,0.9
music,BR_MLP,3,9,,0,0.9,,,1.0
music,BR_MLP,4,0,,0,0.0,,,0.1
music,BR_MLP,4,1,,0,0.1,,,0.2
music,BR_MLP,4,2,0.2743506928284963,9,0.2,0.2743506928284963,0.0,0.3
music,BR_MLP,4,3,0.3053203769601308,104,0.3,0.3630126846524385,0.057692307692307696,0.4
music,BR_MLP,4,4,0.34597289188235414,255,0.4,0.4557768134509816,0.10980392156862745,0.5
music,BR_MLP,4,5,0.05894167726852467,267,0.5,0.545833063036315,0.4868913857677903,0.6
music,BR_MLP,4,6,0.07390255067083573,72,0.6,0.6344307826624976,0.7083333333333334,0.7
music,BR_MLP,4,7,0.13715071337563645,7,0.7,0.7199921437672206,0.8571428571428571,0.8
music,BR_MLP,4,8,,0,0.8,,,0.9
music,BR_MLP,4,9,,0,0.9,,,1.0
music,BR_MLP,5,0,,0,0.0,,,0.1
music,BR_MLP,5,1,,0,0.1,,,0.2
music,BR_MLP,5,2,0.2772278406403281,11,0.2,0.2772278406403281,0.0,0.3
music,BR_MLP,5,3,0.3165993371675181,86,0.3,0.3631109650744948,0.046511627906976744,0.4
music,BR_MLP,5,4,0.35169226123806185,263,0.4,0.4581561395650581,0.10646387832699619,0.5
music,BR_MLP,5,5,0.09238582849502563,274,0.5,0.5449405730205731,0.45255474452554745,0.6
music,BR_MLP,5,6,0.15660074655560474,69,0.6,0.6405007027197576,0.7971014492753623,0.7
music,BR_MLP,5,7,0.1791481375694275,11,0.7,0.7299427715214816,0.9090909090909091,0.8
music,BR_MLP,5,8,,0,0.8,,,0.9
music,BR_MLP,5,9,,0,0.9,,,1.0
music,CC_MLP,1,0,,0,0.0,,,0.1
music,CC_MLP,1,1,0.17272940774758658,3,0.1,0.17272940774758658,0.0,0.2
music,CC_MLP,1,2,0.22093305885791775,45,0.2,0.2653775033023622,0.044444444444444446,0.3
music,CC_MLP,1,3,0.29363109705583107,106,0.3,0.3502348706407367,0.05660377358490566,0.4
music,CC_MLP,1,4,0.28624492491223685,243,0.4,0.4549692047476278,0.16872427983539096,0.5
music,CC_MLP,1,5,0.04758888138665096,225,0.5,0.5453666591644287,0.49777777777777776,0.6
music,CC_MLP,1,6,0.024826932698488235,80,0.6,0.6376730673015117,0.6625,0.7
music,CC_MLP,1,7,0.032796333233515385,12,0.7,0.7172036667664846,0.75,0.8
music,CC_MLP,1,8,,0,0.8,,,0.9
music,CC_MLP,1,9,,0,0.9,,,1.0
music,CC_MLP,2,0,,0,0.0,,,0.1
music,CC_MLP,2,1,,0,0.1,,,0.2
music,CC_MLP,2,2,0.236967401409691,44,0.2,0.25969467413696373,0.022727272727272728,0.3
music,CC_MLP,2,3,0.2667379451374854,124,0.3,0.3554476225568402,0.08870967741935484,0.4
music,CC_MLP,2,4,0.2534522429425666,235,0.4,0.4491969237936304,0.19574468085106383,0.5
music,CC_MLP,2,5,0.07903446702613048,194,0.5,0.5481066319745841,0.4690721649484536,0.6
music,CC_MLP,2,6,0.037468647113954257,99,0.6,0.6392990296537225,0.6767676767676768,0.7
music,CC_MLP,2,7,0.10496471325556445,6,0.7,0.7283686200777689,0.8333333333333334,0.8
music,CC_MLP,2,8,,0,0.8,,,0.9
music,CC_MLP,2,9,,0,0.9,,,1.0
music,CC_MLP,3,0,,0,0.0,,,0.1
music,CC_MLP,3,1,0.17748358845710754,5,0.1,0.17748358845710754,0.0,0.2
music,CC_MLP,3,2,0.2651466580687976,61,0.2,0.2651466580687976,0.0,0.3
music,CC_MLP,3,3,0.31619465781582723,90,0.3,0.3606391022602717,0.044444444444444446,0.4
music,CC_MLP,3,4,0.23934975055356822,240,0.4,0.4560164172202349,0.21666666666666667,0.5
music,CC_MLP,3,5,0.09761525481660788,214,0.5,0.5462133856577294,0.4485981308411215,0.6
music,CC_MLP,3,6,0.05566703501869652,85,0.6,0.638450612040127,0.6941176470588235,0.7
music,CC_MLP,3,7,0.029004243703988908,13,0.7,0.7402265255267804,0.7692307692307693,0.8
music,CC_MLP,3,8,,0,0.8,,,0.9
