Dataset,Model,Fold,Bin,Absolute Gap,Count,Lower Bound,Mean Predicted Probability,Observed Positive Rate,Upper Bound
emotions,GSI_MLC_PA_MLP,4,9,0.0615602508187294,8,0.9,0.9365602508187294,0.875,1.0
emotions,GSI_MLC_PA_MLP,5,0,0.0007229615594386285,185,0.0,0.04792568708921002,0.04864864864864865,0.1
emotions,GSI_MLC_PA_MLP,5,1,0.021197889552072247,108,0.1,0.15082751918170187,0.12962962962962962,0.2
emotions,GSI_MLC_PA_MLP,5,2,0.023970363132747585,81,0.2,0.24763457513885734,0.2716049382716049,0.3
emotions,GSI_MLC_PA_MLP,5,3,0.01888656090287605,68,0.3,0.3487604979206534,0.36764705882352944,0.4
emotions,GSI_MLC_PA_MLP,5,4,0.13718296745990188,47,0.4,0.43728511764648115,0.574468085106383,0.5
emotions,GSI_MLC_PA_MLP,5,5,0.20555108288923896,48,0.5,0.544448917110761,0.75,0.6
emotions,GSI_MLC_PA_MLP,5,6,0.0962242960929871,40,0.6,0.6537757039070129,0.75,0.7
emotions,GSI_MLC_PA_MLP,5,7,0.027742236047177737,37,0.7,0.756041547736606,0.7837837837837838,0.8
emotions,GSI_MLC_PA_MLP,5,8,0.15080844414861572,19,0.8,0.8350189704644052,0.6842105263157895,0.9
emotions,GSI_MLC_PA_MLP,5,9,0.04565427133015221,21,0.9,0.950416176092057,0.9047619047619048,1.0
music,MLC_PA_MLP,1,0,0.01402928232571131,178,0.0,0.047737147494250634,0.033707865168539325,0.1
music,MLC_PA_MLP,1,1,0.011458090155339634,122,0.1,0.1508023524504216,0.13934426229508196,0.2
music,MLC_PA_MLP,1,2,0.08618036295686449,105,0.2,0.2480851248616264,0.1619047619047619,0.3
music,MLC_PA_MLP,1,3,0.07667366952835758,79,0.3,0.3551546821865854,0.27848101265822783,0.4
music,MLC_PA_MLP,1,4,0.14012229698044915,70,0.4,0.4455919887338366,0.5857142857142857,0.5
music,MLC_PA_MLP,1,5,0.11187037762175212,47,0.5,0.5477040904633542,0.6595744680851063,0.6
music,MLC_PA_MLP,1,6,0.08849622143639457,54,0.6,0.6522445193043461,0.7407407407407407,0.7
music,MLC_PA_MLP,1,7,0.09867288668950402,27,0.7,0.7531789651623478,0.8518518518518519,0.8
music,MLC_PA_MLP,1,8,0.11689580570567737,22,0.8,0.8441685329784047,0.7272727272727273,0.9
music,MLC_PA_MLP,1,9,0.049881547689437866,10,0.9,0.9501184523105621,1.0,1.0
music,MLC_PA_MLP,2,0,0.02631105846280131,197,0.0,0.04475493138491443,0.07106598984771574,0.1
music,MLC_PA_MLP,2,1,0.019495090961456296,125,0.1,0.14850490903854371,0.168,0.2
music,MLC_PA_MLP,2,2,0.027971065078658597,87,0.2,0.24636186967635976,0.21839080459770116,0.3
music,MLC_PA_MLP,2,3,0.07451807182343279,61,0.3,0.3517114363732885,0.4262295081967213,0.4
music,MLC_PA_MLP,2,4,0.004399520345032215,64,0.4,0.4487254796549678,0.453125,0.5
music,MLC_PA_MLP,2,5,0.0061508988847538415,49,0.5,0.5571713070480191,0.5510204081632653,0.6
music,MLC_PA_MLP,2,6,0.09254995584487913,40,0.6,0.6425499558448792,0.55,0.7
music,MLC_PA_MLP,2,7,0.02059404597137915,33,0.7,0.7478667732441064,0.7272727272727273,0.8
music,MLC_PA_MLP,2,8,0.05588056760675775,34,0.8,0.8499982146655812,0.7941176470588235,0.9
music,MLC_PA_MLP,2,9,0.07175688445568085,12,0.9,0.9282431155443192,1.0,1.0
music,MLC_PA_MLP,3,0,0.005311669904889037,192,0.0,0.0469783365715557,0.041666666666666664,0.1
music,MLC_PA_MLP,3,1,0.03268214402435063,111,0.1,0.14979926114146774,0.11711711711711711,0.2
music,MLC_PA_MLP,3,2,0.05682369284700639,101,0.2,0.2449425047281945,0.18811881188118812,0.3
music,MLC_PA_MLP,3,3,0.03572409277531641,67,0.3,0.3523356087172209,0.3880597014925373,0.4
music,MLC_PA_MLP,3,4,0.049867944525820884,56,0.4,0.4501320554741791,0.5,0.5
music,MLC_PA_MLP,3,5,0.08041176296049546,62,0.5,0.5486204951040207,0.6290322580645161,0.6
music,MLC_PA_MLP,3,6,0.036550339460373005,50,0.6,0.643449660539627,0.68,0.7
music,MLC_PA_MLP,3,7,0.019043033463614356,35,0.7,0.7523855379649571,0.7714285714285715,0.8
music,MLC_PA_MLP,3,8,0.132855667008294,18,0.8,0.8550778892305162,0.7222222222222222,0.9
music,MLC_PA_MLP,3,9,0.05813596770167351,16,0.9,0.9331359677016735,0.875,1.0
music,MLC_PA_MLP,4,0,0.0031221317512972746,192,0.0,0.04478879841796394,0.041666666666666664,0.1
music,MLC_PA_MLP,4,1,0.06883260826506313,126,0.1,0.1481976876301425,0.07936507936507936,0.2
music,MLC_PA_MLP,4,2,0.07276096070806184,84,0.2,0.2513323892794904,0.17857142857142858,0.3
music,MLC_PA_MLP,4,3,0.037287571600505276,70,0.3,0.34842671411378046,0.38571428571428573,0.4
music,MLC_PA_MLP,4,4,0.08936915007130847,58,0.4,0.44511360854938115,0.5344827586206896,0.5
music,MLC_PA_MLP,4,5,0.1313988850230262,63,0.5,0.5511407975166563,0.6825396825396826,0.6
music,MLC_PA_MLP,4,6,0.03316357439639517,51,0.6,0.6531109354075264,0.6862745098039216,0.7
music,MLC_PA_MLP,4,7,0.04344812210868387,34,0.7,0.7506695249501396,0.7941176470588235,0.8
music,MLC_PA_MLP,4,8,0.2117558690634641,22,0.8,0.8481195054271005,0.6363636363636364,0.9
music,MLC_PA_MLP,4,9,0.14958788241658894,14,0.9,0.9353021681308746,0.7857142857142857,1.0
music,MLC_PA_MLP,5,0,0.01601594016122233,175,0.0,0.0445873687326509,0.02857142857142857,0.1
music,MLC_PA_MLP,5,1,0.04004044770537055,136,0.1,0.15033456535242937,0.11029411764705882,0.2
music,MLC_PA_MLP,5,2,0.010235768978041848,99,0.2,0.2526600114022843,0.24242424242424243,0.3
music,MLC_PA_MLP,5,3,0.06222720008630017,65,0.3,0.3545348923939925,0.2923076923076923,0.4
music,MLC_PA_MLP,5,4,0.008445883706464596,59,0.4,0.4491812349376032,0.4576271186440678,0.5
music,MLC_PA_MLP,5,5,0.08282824824838075,51,0.5,0.5446227321437761,0.6274509803921569,0.6
music,MLC_PA_MLP,5,6,0.06734701876456928,52,0.6,0.6441914427738923,0.7115384615384616,0.7
music,MLC_PA_MLP,5,7,0.02331565057530116,34,0.7,0.74139023177764,0.7647058823529411,0.8
music,MLC_PA_MLP,5,8,0.0016394662857055486,25,0.8,0.8416394662857055,0.84,0.9
music,MLC_PA_MLP,5,9,0.1017809510231018,18,0.9,0.9351142843564352,0.8333333333333334,1.0
music,GSI_MLC_PA_MLP,1,0,0.0022136261249321304,181,0.0,0.04641252115255644,0.04419889502762431,0.1
music,GSI_MLC_PA_MLP,1,1,0.024083188664512478,119,0.1,0.1501336088325797,0.12605042016806722,0.2
music,GSI_MLC_PA_MLP,1,2,0.06488483045438323,99,0.2,0.24670301227256505,0.18181818181818182,0.3
music,GSI_MLC_PA_MLP,1,3,0.08603339470349824,78,0.3,0.35526416393426746,0.2692307692307692,0.4
music,GSI_MLC_PA_MLP,1,4,0.10189657358380105,77,0.4,0.44355797187074436,0.5454545454545454,0.5
music,GSI_MLC_PA_MLP,1,5,0.14436193837059863,45,0.5,0.5445269505182903,0.6888888888888889,0.6
music,GSI_MLC_PA_MLP,1,6,0.0758289531165478,51,0.6,0.6496612429618835,0.7254901960784313,0.7
music,GSI_MLC_PA_MLP,1,7,0.03700044841477357,33,0.7,0.7508783394640143,0.7878787878787878,0.8
music,GSI_MLC_PA_MLP,1,8,0.1142128868536515,22,0.8,0.8414856141263788,0.7272727272727273,0.9
music,GSI_MLC_PA_MLP,1,9,0.044513457351260666,9,0.9,0.9554865426487393,1.0,1.0
music,GSI_MLC_PA_MLP,2,0,0.02159556012022843,205,0.0,0.04669712280660084,0.06829268292682927,0.1
music,GSI_MLC_PA_MLP,2,1,0.02580207369224294,127,0.1,0.14742627276444997,0.1732283464566929,0.2
music,GSI_MLC_PA_MLP,2,2,0.02714588055792061,92,0.2,0.24459324987686198,0.2717391304347826,0.3
music,GSI_MLC_PA_MLP,2,3,0.03981506558401243,56,0.3,0.3530420772731304,0.39285714285714285,0.4
music,GSI_MLC_PA_MLP,2,4,0.11118917663892108,57,0.4,0.4502143321330087,0.5614035087719298,0.5
music,GSI_MLC_PA_MLP,2,5,0.10201195478439334,40,0.5,0.5520119547843934,0.45,0.6
music,GSI_MLC_PA_MLP,2,6,0.09749089887267659,38,0.6,0.6501224778200451,0.5526315789473685,0.7
music,GSI_MLC_PA_MLP,2,7,0.05096489371675428,33,0.7,0.7479345906864513,0.696969696969697,0.8
music,GSI_MLC_PA_MLP,2,8,0.08337201628574098,43,0.8,0.8508138767508573,0.7674418604651163,0.9
music,GSI_MLC_PA_MLP,2,9,0.0709028352390636,11,0.9,0.9290971647609364,1.0,1.0
music,GSI_MLC_PA_MLP,3,0,0.005311669904889037,192,0.0,0.0469783365715557,0.041666666666666664,0.1
music,GSI_MLC_PA_MLP,3,1,0.03268214402435063,111,0.1,0.14979926114146774,0.11711711711711711,0.2
music,GSI_MLC_PA_MLP,3,2,0.05682369284700639,101,0.2,0.2449425047281945,0.18811881188118812,0.3
music,GSI_MLC_PA_MLP,3,3,0.03572409277531641,67,0.3,0.3523356087172209,0.3880597014925373,0.4
music,GSI_MLC_PA_MLP,3,4,0.049867944525820884,56,0.4,0.4501320554741791,0.5,0.5
music,GSI_MLC_PA_MLP,3,5,0.08041176296049546,62,0.5,0.5486204951040207,0.6290322580645161,0.6
music,GSI_MLC_PA_MLP,3,6,0.036550339460373005,50,0.6,0.643449660539627,0.68,0.7
music,GSI_MLC_PA_MLP,3,7,0.019043033463614356,35,0.7,0.7523855379649571,0.7714285714285715,0.8
music,GSI_MLC_PA_MLP,3,8,0.132855667008294,18,0.8,0.8550778892305162,0.7222222222222222,0.9
music,GSI_MLC_PA_MLP,3,9,0.05813596770167351,16,0.9,0.9331359677016735,0.875,1.0
